date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits,nearby_1st,prize_2nd,prize_3rd,prize_4th,prize_5th
2021-04-01,472270,"['755', '283']","['393', '577']",05,"['472269', '472271']","['115222', '182118', '806923', '697143', '004754']","['930328', '505929', '308360', '034428', '757887', '140300', '927262', '041251', '603307', '215319']","['085354', '621370', '502632', '872136', '825223', '318502', '983606', '403589', '806346', '085604', '723558', '027180', '360355', '150300', '966168', '636933', '970594', '021758', '158496', '333484', '955048', '172625', '199591', '480817', '384012', '775867', '025166', '504665', '446001', '929472', '294430', '127672', '317602', '411273', '294073', '358158', '777286', '584031', '938467', '408126', '242951', '054219', '474839', '942949', '186107', '282870', '779308', '468083', '642743', '648707']","['414100', '563848', '708213', '192707', '731047', '225968', '234265', '172790', '150689', '857947', '464403', '236104', '183184', '952123', '740025', '220423', '293203', '681690', '494461', '650541', '306559', '436695', '010715', '848619', '133956', '755371', '988071', '049095', '098764', '398580', '867192', '624571', '465399', '840816', '822430', '364974', '890542', '308725', '813792', '580186', '848710', '879987', '219866', '951594', '055348', '447993', '912488', '943937', '585114', '873653', '761521', '057865', '792776', '223223', '929030', '089547', '241697', '982919', '292470', '973371', '775436', '403292', '187112', '257182', '928799', '185424', '573834', '582583', '606925', '525905', '408150', '645744', '932753', '244877', '010737', '571108', '688856', '761902', '573551', '572045', '443395', '598333', '317688', '410717', '635637', '948058', '196410', '855889', '700117', '368912', '371080', '888856', '416767', '754249', '674157', '388363', '971038', '182832', '448923', '738605']"
2021-03-16,890422,"['036', '902']","['396', '256']",19,"['890421', '890423']","['864678', '468867', '996425', '108712', '763118']","['649703', '595842', '363671', '849684', '784244', '715804', '746045', '884862', '511727', '868760']","['650983', '960855', '100317', '717023', '692182', '331987', '345255', '691729', '473410', '886211', '943445', '000214', '057280', '832324', '611659', '741913', '913253', '651811', '332262', '103100', '140877', '507165', '476362', '244428', '529130', '480174', '243552', '055770', '912621', '426131', '893677', '915877', '160996', '474887', '912808', '358285', '119621', '782186', '774595', '165316', '054051', '769618', '349282', '001448', '142171', '592472', '071029', '267901', '327102', '497761']","['093297', '838507', '345218', '425065', '945539', '407482', '285895', '067586', '772678', '273670', '828270', '316247', '675508', '993445', '294530', '530062', '572012', '621718', '034643', '746247', '877249', '949766', '759821', '081566', '694906', '520748', '187813', '396727', '996906', '533236', '083140', '467405', '255791', '301388', '691724', '572761', '754958', '804914', '341132', '661016', '547559', '905361', '113731', '110285', '720199', '702411', '649066', '663559', '600228', '055831', '347668', '472601', '513315', '430107', '872924', '836106', '900562', '435530', '770260', '387539', '560472', '927730', '619261', '281895', '896635', '418289', '942870', '476010', '268894', '774474', '369946', '197566', '437337', '392077', '876987', '248275', '940904', '213690', '911624', '917169', '268991', '110774', '372959', '788904', '881658', '784134', '847406', '544643', '054986', '562155', '367955', '808971', '911221', '221671', '639935', '010572', '474296', '251484', '039498', '992013']"
2021-03-01,835538,"['290', '838']","['051', '806']",73,"['835537', '835539']","['316827', '731177', '743731', '788652', '923096']","['045942', '183440', '323456', '389816', '488050', '575910', '648700', '727081', '735004', '756048']","['942297', '529147', '469811', '679528', '000395', '712017', '484349', '970326', '099988', '826174', '649606', '552557', '082383', '806822', '488358', '871042', '817353', '054700', '669007', '438714', '516745', '104432', '825800', '588420', '542620', '105610', '759204', '904906', '343900', '487907', '150558', '894512', '314364', '948990', '760427', '374636', '531335', '834237', '494884', '814393', '410900', '126701', '301404', '183517', '058820', '906356', '053547', '612105', '258747', '221238']","['447352', '420290', '126787', '487174', '833272', '920655', '725220', '451531', '062159', '503807', '659994', '786150', '965980', '235835', '714435', '059483', '087961', '428967', '592883', '972057', '871384', '178105', '569672', '286430', '266454', '859409', '034880', '658306', '634564', '620887', '247139', '363704', '269758', '599785', '967082', '594112', '230229', '157894', '062367', '608173', '630977', '554067', '696587', '265712', '632354', '388545', '440432', '315602', '219092', '878396', '347243', '048328', '518936', '575733', '851901', '220231', '107394', '502163', '995544', '236576', '722631', '970568', '947099', '826669', '443427', '128714', '760021', '416735', '292510', '011894', '162093', '254863', '243489', '766708', '359595', '434822', '155204', '448314', '167405', '983919', '956845', '204005', '250370', '971163', '960889', '463805', '267220', '545552', '761211', '750364', '874069', '839699', '200737', '922360', '638269', '504039', '296474', '489524', '003741', '389274']"
2021-02-16,424603,"['861', '318']","['057', '817']",39,"['424602', '424604']","['037140', '067889', '228425', '271456', '387227']","['325950', '369617', '410499', '458809', '499726', '517862', '575376', '606707', '814366', '936603']","['044642', '046874', '069681', '105892', '107662', '137509', '236305', '237591', '261350', '261725', '278858', '291137', '301758', '323890', '332105', '333251', '356021', '368553', '377621', '377662', '381076', '409529', '437454', '453333', '478298', '492978', '501340', '503670', '520446', '524969', '556555', '562041', '564023', '619944', '644952', '660532', '672137', '678635', '741749', '748782', '770698', '792733', '793839', '842030', '875947', '926290', '949290', '951572', '956190', '961868']","['000225', '004049', '018550', '022222', '026188', '033751', '040906', '059078', '063057', '083165', '109064', '123668', '144661', '162515', '167094', '168911', '169877', '173148', '178582', '185760', '188036', '202121', '203990', '204716', '209258', '211725', '215291', '218263', '254556', '260317', '271453', '273252', '281296', '283854', '290614', '292069', '302248', '329419', '339556', '343584', '345607', '347812', '353433', '354585', '386105', '388729', '392315', '406214', '411395', '420777', '421333', '425715', '443870', '446644', '447074', '469001', '486699', '488170', '488463', '512228', '512678', '515496', '527177', '549462', '549762', '552519', '556750', '556841', '576119', '577024', '577128', '589301', '617890', '618721', '650841', '699467', '700049', '728680', '732446', '750557', '757797', '791880', '815739', '829742', '831285', '843811', '845094', '849108', '869041', '880962', '913352', '938765', '942981', '951845', '958067', '958670', '967675', '993520', '994060', '998325']"
2021-02-01,912307,"['605', '248']","['282', '651']",97,"['912306', '912308']","['332913', '742193', '832004', '911667', '977731']","['414365', '436403', '494890', '584375', '614537', '839535', '843195', '889390', '926898', '962702']","['001885', '072932', '223805', '283305', '376832', '524610', '597914', '643180', '770172', '967461', '011056', '073651', '232070', '297047', '415234', '527527', '600583', '682896', '851269', '976654', '027316', '150655', '243453', '318935', '440543', '535339', '603395', '728128', '949369', '980145', '027506', '186057', '250256', '321269', '492891', '555852', '627162', '737151', '949864', '990239', '030342', '203361', '268571', '360777', '494661', '584381', '633893', '747455', '959742', '998072']","['006967', '112875', '190471', '296880', '420087', '521800', '588776', '665241', '808920', '928099', '008980', '124179', '199034', '317495', '433986', '524441', '600528', '668064', '817941', '942459', '025827', '130827', '201160', '319308', '441715', '536051', '605943', '672393', '828552', '964791', '050786', '133714', '204015', '321829', '461561', '538755', '615891', '697492', '839330', '966551', '056352', '136438', '208074', '347125', '464236', '554020', '616530', '706752', '849172', '975542', '062475', '138561', '232806', '349306', '472249', '563941', '619859', '728067', '889783', '980256', '065072', '143580', '253135', '359058', '479871', '565327', '630738', '748315', '903049', '980466', '100498', '145754', '260189', '389217', '488674', '565693', '650259', '750997', '910966', '989557', '100513', '152334', '281720', '395811', '499241', '579841', '653590', '766658', '914180', '989788', '108370', '188608', '292892', '416466', '513163', '585418', '664020', '771753', '916746', '998846']"
2021-01-17,384395,"['367', '653']","['566', '878']",15,"['384394', '384396']","['177520', '231007', '323948', '394142', '788724']","['032732', '091718', '296997', '310475', '399658', '482727', '555122', '561476', '614475', '915778']","['016674', '064982', '225769', '319267', '445989', '501929', '578462', '658447', '828762', '915839', '019581', '126189', '225876', '362907', '459912', '511246', '595994', '667634', '834333', '963864', '020162', '155182', '288692', '385971', '488934', '522461', '610948', '679357', '847443', '976765', '041730', '165811', '294899', '437093', '491441', '533195', '629002', '775492', '878459', '985420', '050202', '198094', '314136', '445244', '493820', '571797', '639393', '800980', '878632', '995594']","['012323', '105703', '165991', '263837', '380696', '478478', '612692', '672068', '768286', '846831', '016591', '111168', '175228', '268315', '384411', '478928', '614098', '677211', '783493', '857074', '021110', '121136', '181931', '271148', '387215', '483150', '615044', '691643', '794655', '857649', '027027', '125507', '184199', '294800', '387776', '489086', '628217', '704933', '796168', '861845', '040995', '129870', '206258', '301568', '403093', '492516', '632700', '715804', '797344', '864442', '058546', '130033', '218200', '306146', '422176', '507839', '640587', '717110', '799388', '870711', '058762', '133292', '220780', '348530', '437656', '509035', '654436', '724160', '800017', '905616', '074497', '137599', '226921', '360771', '441293', '524300', '661869', '742618', '815895', '929004', '081100', '140676', '241093', '364079', '453850', '548880', '662923', '754763', '839423', '957940', '092078', '151781', '242840', '377602', '463325', '559493', '667661', '762306', '844357', '982189']"
2020-12-30,803628,"['336', '804']","['321', '924']",19,"['803627', '803629']","['038681', '151281', '207556', '418150', '514442']","['125389', '258777', '344204', '484581', '484969', '556609', '556714', '683749', '787612', '819262']","['032838', '098737', '175958', '255122', '341716', '408453', '556092', '753094', '822023', '947140', '036519', '112868', '181664', '265658', '342092', '408865', '556314', '774515', '871387', '951391', '081531', '142283', '186279', '265824', '360085', '492688', '559861', '787802', '877659', '953434', '088010', '155667', '223759', '292741', '383519', '498778', '583637', '799306', '919775', '970207', '097352', '163986', '224716', '333128', '399482', '523721', '684401', '818709', '927087', '986057']","['001056', '083469', '214383', '313864', '358890', '536030', '624778', '692861', '804901', '868022', '009206', '109774', '216181', '317816', '365305', '541681', '632527', '693771', '805769', '897318', '018409', '122082', '221051', '322775', '391147', '543360', '642417', '752446', '827768', '914623', '032564', '135770', '230493', '326904', '391731', '543892', '652751', '760415', '828993', '937099', '045375', '140666', '258318', '333935', '432860', '551258', '654661', '761119', '834867', '952550', '056353', '158001', '262810', '341068', '448712', '552031', '657306', '768823', '838302', '953567', '064998', '165232', '268323', '344560', '467479', '556255', '671707', '776851', '858792', '956774', '067530', '167037', '272759', '348647', '474448', '590337', '672310', '777364', '861746', '965589', '068479', '168303', '282947', '349766', '483116', '591413', '682023', '780783', '863501', '973285', '077610', '178948', '287235', '351931', '523597', '595977', '692629', '783299', '864883', '985709']"
2020-12-16,201303,"['377', '828']","['072', '517']",70,"['201302', '201304']","['284694', '408019', '572443', '780453', '975617']","['000973', '011404', '046396', '332227', '351056', '358429', '384705', '387722', '776045', '859519']","['004474', '049286', '142804', '265147', '403954', '539471', '618838', '718028', '771583', '870829', '013055', '067205', '156987', '328013', '440322', '546650', '633683', '725943', '790366', '931292', '027611', '070851', '191570', '340661', '477967', '558661', '647375', '733028', '823257', '959196', '033205', '101222', '237943', '361583', '482652', '571740', '662143', '735797', '841863', '974001', '047151', '136527', '246487', '395749', '519802', '596158', '683116', '762897', '866456', '981143']","['006560', '094080', '209027', '244340', '317306', '393418', '570852', '653747', '733729', '908694', '016570', '101039', '209438', '255930', '332602', '402271', '573035', '660401', '738830', '916645', '018087', '125637', '218144', '263873', '345297', '420635', '575639', '664863', '758704', '930917', '028476', '130126', '218471', '271856', '367680', '433600', '575903', '701002', '789126', '932094', '030198', '143101', '221884', '288754', '368977', '465422', '581470', '706913', '839758', '937906', '036219', '153955', '224678', '290464', '376643', '490074', '602100', '708698', '859929', '940877', '038298', '163501', '224887', '293966', '377807', '493565', '608023', '711796', '863234', '951747', '046685', '173547', '226157', '294066', '378691', '493704', '612078', '713548', '879739', '954975', '057606', '195362', '236137', '302349', '379671', '525175', '617622', '719104', '894057', '987179', '085504', '203119', '236969', '304762', '386364', '529987', '623571', '727119', '897003', '995484']"
2020-12-01,100994,"['093', '776']","['834', '984']",84,"['100993', '100995']","['398530', '623477', '790808', '830139', '956546']","['119488', '266858', '271267', '345946', '350613', '407283', '419141', '425570', '467146', '481821']","['003265', '025488', '033941', '037127', '038812', '055988', '072860', '119878', '121760', '127980', '154618', '179707', '195713', '203695', '224737', '272047', '272973', '284809', '306464', '321877', '322894', '344896', '346858', '375638', '416530', '452491', '468286', '490780', '503976', '511794', '516842', '556932', '559508', '602398', '607594', '617305', '618214', '661229', '717857', '775339', '801616', '831281', '835315', '890107', '917779', '927549', '932485', '937695', '951673', '957137']","['014066', '015968', '016686', '018075', '018663', '030487', '056498', '083321', '085091', '104708', '105604', '107874', '108314', '116675', '165770', '187450', '193542', '196404', '207429', '227506', '248977', '256790', '268652', '281997', '293894', '297013', '298041', '301608', '305440', '308206', '308724', '316806', '319066', '328774', '338054', '345064', '359087', '388141', '401022', '409675', '432555', '445011', '446461', '446647', '470489', '472023', '477731', '486849', '510827', '518770', '523259', '526183', '527720', '544733', '548209', '549356', '551723', '554217', '565535', '599622', '615313', '617776', '620281', '620983', '626303', '640834', '642973', '651017', '655140', '664586', '679518', '683299', '701315', '713649', '757316', '758506', '779081', '780473', '799502', '812272', '815496', '816065', '823019', '841474', '866648', '873854', '874249', '878010', '881647', '890071', '893905', '895836', '907897', '918863', '936470', '943157', '944535', '953790', '971023', '973808']"
2020-11-16,972661,"['368', '741']","['208', '255']",46,"['972660', '972662']","['299864', '365679', '414289', '814908', '921353']","['037891', '038362', '124248', '217916', '331438', '438268', '576077', '738249', '783176', '988760']","['006916', '022030', '052736', '064892', '088228', '098070', '120179', '165296', '178574', '179237', '211132', '212009', '226218', '281925', '294425', '308386', '313802', '317884', '377202', '397832', '465999', '467610', '467891', '482433', '513564', '557745', '562797', '567639', '623811', '691370', '696582', '702530', '708622', '733266', '753070', '758089', '762932', '784083', '791986', '794457', '806623', '841803', '844772', '847891', '856119', '887680', '920949', '973144', '989518', '992146']","['000607', '006235', '007506', '048575', '069953', '089223', '095497', '105405', '158096', '173569', '176300', '176828', '191033', '221226', '223888', '225759', '258568', '284785', '291533', '297243', '307432', '309978', '369997', '379451', '385080', '392970', '394678', '427995', '431858', '432787', '434842', '448753', '455650', '457777', '457817', '475935', '499957', '512340', '513864', '526888', '547044', '549388', '566466', '574606', '575825', '576827', '594488', '625987', '628583', '640824', '660365', '662621', '679738', '687797', '694122', '707715', '714669', '720666', '721899', '731203', '734640', '735392', '739683', '754999', '755116', '763993', '771994', '782055', '785586', '791423', '797118', '797354', '799284', '801412', '804819', '810921', '817284', '822937', '833696', '851767', '857314', '859049', '866688', '887076', '891369', '897384', '903353', '906848', '907166', '908192', '911655', '935989', '936875', '941255', '946583', '973491', '975180', '981791', '987267', '999152']"
2020-11-01,506404,"['154', '598']","['062', '245']",40,"['506403', '506405']","['199970', '241406', '428719', '430761', '839755']","['005114', '048601', '053850', '108958', '199474', '393735', '561720', '602942', '672466', '908793']","['002027', '133362', '139543', '160097', '180162', '180222', '184186', '227136', '230128', '259570', '271359', '279558', '294033', '331503', '351771', '354411', '366729', '393148', '402604', '422351', '434397', '464395', '467039', '479788', '493615', '510807', '514969', '540580', '556666', '560928', '566398', '570158', '584371', '599404', '627209', '673574', '710657', '767891', '836859', '844121', '899896', '901286', '904138', '908140', '919556', '944478', '948612', '967202', '976810', '993682']","['003869', '015530', '024827', '030064', '030903', '033745', '055863', '058078', '062872', '063765', '107459', '120685', '123077', '132549', '165306', '166683', '169394', '173682', '175108', '182341', '206931', '211031', '213713', '215765', '216022', '227559', '233522', '254473', '256495', '269661', '280129', '281664', '293006', '306629', '310467', '313408', '318965', '322183', '341535', '349051', '360410', '363116', '367554', '371717', '385120', '392172', '395872', '399791', '404279', '448458', '448849', '458615', '466688', '473391', '473522', '479496', '481897', '502966', '517137', '526061', '531321', '544448', '565192', '569108', '574331', '580674', '588356', '606915', '613615', '626878', '634616', '639802', '641511', '652409', '669707', '676272', '679273', '692838', '694598', '699188', '735028', '796992', '806509', '822645', '834931', '843024', '868344', '869856', '878010', '885313', '894118', '906437', '911880', '919200', '926628', '938979', '941992', '963692', '975659', '989040']"
2020-10-16,286051,"['189', '464']","['980', '045']",38,"['286050', '286052']","['259926', '712507', '741540', '896056', '977157']","['065804', '218926', '226753', '258855', '475108', '578332', '684127', '750476', '842155', '843375']","['016331', '064412', '150099', '212536', '292241', '325114', '476093', '672504', '737739', '925868', '024613', '070326', '151228', '249247', '297222', '376522', '502748', '678394', '753355', '940279', '031241', '085987', '165004', '254830', '301991', '416487', '506716', '710540', '811859', '948129', '039837', '130295', '186289', '284957', '303646', '417590', '578900', '711206', '890852', '985256', '054178', '148136', '194762', '289286', '311046', '468224', '666600', '733441', '894986', '994913']","['010370', '101039', '256466', '347116', '418217', '491203', '599590', '690415', '788015', '896515', '014402', '103073', '259169', '350111', '420882', '499698', '600056', '706277', '790922', '899664', '018347', '109089', '279863', '352332', '426844', '503931', '604112', '730783', '801270', '903996', '038331', '120660', '288533', '361793', '432962', '504910', '617248', '751304', '809139', '914956', '038386', '128944', '292784', '376566', '434822', '540142', '618868', '753181', '810770', '919055', '041679', '150803', '313074', '388750', '436249', '544606', '637199', '760748', '815475', '936294', '047431', '198825', '314400', '392808', '458698', '550792', '643322', '762090', '817507', '938735', '069252', '202229', '322701', '393420', '461567', '570269', '643803', '765071', '829497', '948679', '071492', '239531', '339364', '397897', '469726', '596050', '663737', '776122', '843460', '970259', '087455', '256310', '342656', '416271', '486128', '596816', '685065', '786287', '854415', '977644']"
2020-10-01,837893,"['594', '757']","['110', '595']",59,"['837892', '837894']","['041073', '264258', '386574', '564262', '809372']","['020639', '180850', '278464', '388958', '500626', '666772', '736751', '814224', '817536', '934680']","['032579', '061168', '068823', '077237', '086524', '101617', '119801', '122495', '123375', '126851', '130793', '145487', '152475', '167978', '193325', '206210', '217727', '220512', '243797', '251170', '266056', '298827', '362040', '366405', '373592', '375985', '402024', '404640', '405716', '410959', '427649', '430586', '474805', '557930', '573243', '596898', '605674', '629776', '709832', '715047', '716800', '723338', '811394', '817879', '837573', '843660', '873269', '881266', '988177', '996447']","['008999', '020167', '020203', '037830', '040682', '041491', '049415', '053563', '057131', '090177', '109547', '115541', '129163', '133087', '159528', '176426', '177606', '190868', '199728', '215522', '217933', '218504', '228235', '249758', '275902', '276519', '282926', '296378', '298322', '316746', '329157', '336922', '342499', '344378', '345546', '355792', '356108', '366361', '366385', '373640', '384741', '385624', '393011', '447391', '456940', '456941', '468506', '474775', '491502', '523997', '527179', '543145', '547782', '554133', '554362', '557885', '562179', '566436', '567736', '615996', '616802', '636839', '639732', '647494', '650363', '655492', '656124', '670188', '670445', '673157', '680179', '696129', '701084', '703949', '706034', '707969', '727793', '741237', '741540', '765901', '774803', '781032', '791336', '791704', '796435', '803515', '804731', '815258', '835022', '859940', '883739', '888565', '893048', '896430', '905772', '924139', '929420', '957374', '965494', '978958']"
2020-09-16,244083,"['127', '220']","['623', '853']",57,"['244082', '244084']","['165055', '223313', '617596', '734505', '763352']","['375874', '405166', '431219', '455126', '517230', '562093', '594436', '734220', '743849', '907424']","['013554', '015474', '062777', '069976', '082846', '098907', '116942', '194222', '214301', '216796', '251203', '266191', '269977', '279314', '305333', '317106', '321809', '327943', '346789', '354907', '361508', '375969', '405314', '423478', '445903', '463788', '466731', '470005', '470481', '491996', '493910', '516243', '525926', '574659', '615884', '622313', '642938', '673974', '685719', '695668', '737151', '801364', '811703', '910115', '926386', '935033', '936438', '978301', '981261', '982989']","['057409', '057524', '058267', '063367', '082863', '085471', '092819', '135776', '142101', '167476', '180088', '185619', '215845', '223064', '232138', '232551', '233907', '248245', '249499', '254538', '259475', '262021', '269937', '289350', '292539', '307677', '314106', '319382', '339237', '340276', '348486', '349220', '370030', '370270', '372544', '405472', '408249', '420679', '422823', '425098', '439465', '439944', '441043', '448198', '452025', '476484', '478407', '486807', '490011', '492471', '498291', '525759', '537028', '537696', '542260', '561043', '561616', '572751', '577587', '591793', '601013', '627803', '632950', '633400', '643544', '651211', '660809', '666470', '666982', '668905', '677198', '700314', '704503', '714654', '733717', '740796', '741176', '744880', '766418', '778236', '779588', '787897', '803818', '831429', '836896', '845978', '852772', '867761', '874718', '885610', '888515', '905251', '923841', '930631', '935734', '939108', '952044', '954832', '956207', '986376']"
2020-09-01,999997,"['636', '725']","['342', '957']",98,"['999996', '999998']","['071298', '283972', '301191', '622808', '838934']","['183523', '304732', '310680', '454913', '669274', '757539', '777521', '797960', '810362', '895221']","['002450', '097686', '276722', '402049', '438545', '561416', '649025', '709418', '772364', '913229', '018290', '127004', '289691', '413832', '458841', '570036', '663185', '711503', '793413', '968969', '030905', '137150', '326684', '424829', '461400', '577140', '672470', '733265', '803247', '973174', '073991', '183061', '347168', '426465', '537470', '599076', '677566', '739437', '809233', '974475', '076387', '196364', '351142', '430807', '552713', '616842', '681247', '767283', '857663', '979234']","['012262', '139307', '223441', '276859', '372602', '484596', '586403', '684231', '753189', '882488', '020690', '152827', '227376', '289058', '374909', '489369', '593198', '694401', '754142', '885180', '030428', '156959', '234305', '307149', '399540', '489409', '612222', '699576', '789819', '889127', '040971', '166343', '240081', '309910', '410280', '490439', '638353', '703650', '802971', '896324', '065402', '167251', '249929', '312042', '419826', '510005', '644741', '713240', '807760', '917195', '072388', '182939', '255175', '319716', '429912', '521963', '652699', '722617', '811198', '926810', '074006', '186822', '259080', '322843', '443215', '526611', '653217', '737270', '813342', '980062', '098042', '191807', '265738', '336526', '450852', '539855', '655035', '747777', '832687', '981731', '108283', '192290', '265933', '342550', '454108', '543366', '662649', '748200', '858758', '990055', '109711', '219712', '275938', '365836', '469240', '560014', '674756', '750140', '865855', '996911']"
2020-08-16,945811,"['712', '614']","['364', '733']",88,"['945810', '945812']","['076190', '290322', '324730', '414322', '500896']","['025918', '149654', '155863', '541281', '583811', '736329', '858011', '858319', '885671', '907940']","['015778', '131334', '239792', '310013', '404882', '535127', '596587', '663488', '761771', '868128', '035497', '160469', '246267', '333742', '433172', '558026', '598032', '711451', '771126', '899366', '044718', '177372', '272706', '340338', '441252', '562645', '624676', '720803', '775298', '913491', '101174', '184602', '274205', '395725', '473638', '579876', '632181', '721674', '807459', '959365', '113934', '236793', '288310', '403777', '485455', '582099', '654755', '742765', '855038', '990327']","['003149', '058454', '191281', '317316', '425551', '539482', '614476', '674005', '806098', '907885', '010765', '070010', '216702', '332013', '432294', '561719', '614600', '681920', '807181', '917252', '011512', '107959', '226033', '359186', '437972', '569476', '624609', '693497', '807463', '931896', '020559', '120631', '234179', '367913', '451922', '572127', '631489', '696103', '811124', '945427', '021255', '122490', '256217', '393954', '478433', '577061', '635492', '696963', '839620', '947046', '029078', '123430', '271085', '409898', '491787', '579434', '641363', '733157', '864670', '971461', '035640', '154949', '284071', '418390', '493645', '592396', '643106', '762202', '867155', '990361', '045984', '179207', '307212', '419770', '519258', '593814', '648862', '763746', '882888', '991399', '046017', '185640', '311209', '423336', '522884', '603681', '650065', '765361', '894827', '997440', '049825', '187744', '313932', '423681', '536503', '607580', '654558', '790465', '900606', '998489']"
2020-08-01,569391,"['575', '931']","['578', '809']",92,"['569390', '569392']","['101633', '512010', '544525', '769799', '849581']","['030131', '036873', '085905', '118907', '136551', '308143', '403720', '745312', '777509', '810800']","['013724', '121738', '222641', '326212', '441717', '529542', '575463', '632642', '727773', '859884', '068906', '131753', '235282', '347683', '465487', '539171', '580533', '646830', '735597', '900970', '074056', '147590', '245303', '361090', '468271', '546351', '580695', '666509', '753376', '911332', '108799', '164150', '272070', '375627', '487015', '549586', '607269', '672575', '758924', '938762', '114014', '199198', '305677', '400896', '490883', '559565', '615672', '676289', '795629', '998300']","['007043', '092327', '212850', '316584', '417846', '557890', '657651', '738295', '795405', '915515', '007447', '097352', '240600', '341087', '436592', '558794', '659744', '742085', '820133', '916646', '009524', '105262', '245374', '345326', '446889', '560148', '666033', '750051', '823370', '926690', '018349', '117378', '246676', '345398', '469397', '581082', '677593', '761146', '826698', '940968', '034000', '137144', '251295', '349206', '475072', '611091', '682309', '762370', '829267', '944726', '034541', '148616', '257476', '359439', '487553', '620638', '688327', '774072', '834492', '956433', '048734', '152100', '265767', '370410', '528520', '627733', '705128', '778238', '842085', '956717', '052010', '156483', '270235', '407861', '533658', '638907', '715229', '779278', '866481', '966174', '076487', '165771', '270411', '409896', '534748', '644261', '730171', '781934', '872939', '969639', '080120', '209949', '284213', '412226', '536578', '646860', '735981', '795326', '888098', '993456']"
2020-07-16,873286,"['510', '533']","['682', '494']",53,"['873285', '873287']","['265514', '906944', '922280', '948458', '741212']","['792949', '473357', '173669', '861354', '073630', '845538', '143752', '857511', '898120', '330820']","['688668', '574589', '339760', '338273', '808191', '778198', '136263', '492794', '807283', '747795', '563511', '968309', '150854', '850386', '285630', '445983', '017054', '962683', '157171', '420117', '844588', '969027', '032076', '838547', '245243', '196201', '128737', '718145', '547460', '308840', '121206', '215682', '712001', '237420', '023228', '323789', '523339', '587100', '232905', '922084', '395079', '192502', '696000', '494909', '647447', '735416', '859111', '421436', '451992', '188731']","['191376', '301317', '195649', '644384', '081617', '728316', '723497', '391960', '597777', '669787', '617845', '947047', '791528', '102041', '833719', '918766', '729287', '599997', '959129', '284261', '356348', '834121', '101047', '796581', '446167', '067942', '951894', '339353', '163098', '227476', '253414', '415365', '647773', '421731', '195811', '779082', '549087', '203914', '629549', '853475', '503820', '297238', '207825', '875442', '114071', '857608', '603975', '140146', '534361', '047885', '199497', '121752', '502511', '030541', '730623', '735531', '696469', '258607', '109147', '501713', '124715', '940881', '826540', '075476', '548009', '979075', '686759', '902329', '664259', '925437', '239905', '746200', '125876', '268075', '395562', '445235', '918295', '479087', '146417', '182905', '567681', '892010', '871122', '051348', '652925', '147174', '080044', '358500', '407706', '152753', '961847', '364544', '120060', '432914', '781993', '940837', '296861', '070609', '470597', '885427']"
2020-07-01,347258,"['095', '362']","['094', '307']",83,"['347257', '347259']","['059367', '165108', '443218', '521355', '782552']","['030000', '035010', '167559', '408333', '458572', '569662', '699988', '729594', '758112', '820265']","['002292', '097590', '227181', '298418', '480425', '533677', '614836', '740707', '803109', '917160', '013896', '155749', '250779', '348844', '483708', '556133', '693052', '760622', '803425', '929531', '028192', '156815', '252903', '384246', '508286', '559096', '719163', '771321', '852775', '955927', '032989', '211398', '269214', '422982', '529518', '585714', '719742', '785262', '861960', '972002', '093986', '216512', '291320', '460007', '532157', '612780', '732954', '798070', '903896', '999864']","['013803', '189223', '271579', '335319', '434779', '546253', '627324', '734274', '817746', '899116', '034722', '191863', '271660', '344070', '442545', '548132', '637388', '735233', '822404', '901775', '043545', '198926', '282215', '362377', '444626', '554808', '638932', '735505', '840943', '912451', '063249', '205077', '288586', '375045', '458045', '567979', '652016', '742323', '841358', '920600', '078890', '208137', '291427', '376236', '461235', '569746', '693774', '751435', '841927', '931393', '108471', '210731', '294426', '377456', '478867', '574807', '694350', '756815', '843676', '931873', '175599', '223090', '303634', '390155', '479405', '587135', '713674', '760405', '844328', '936329', '177256', '225502', '305609', '397164', '492800', '591210', '715599', '763959', '880841', '953377', '177496', '244383', '323199', '426971', '494232', '599603', '720824', '764620', '887108', '969794', '180780', '257605', '333671', '429262', '524831', '625824', '729518', '796240', '891047', '999435']"
